id,ideal_category,predicted_category,category_correct,deterministic_score,retrieval_top_similarity,semantic_similarity,overall_score,overall_pass,needs_human,expected_escalation,failure_type
t001,account_access,account_access,True,1.0,0.4535,0.2224,4.62,True,False,False,NONE
t002,billing,billing,True,0.8,0.4663,0.3198,3.42,False,False,False,INCOMPLETE_ANSWER
t003,technical_bug,technical_bug,True,0.8,0.2751,0.2377,3.32,False,False,False,INCOMPLETE_ANSWER
t005,refund_complaint,refund_complaint,True,0.8,0.5126,0.183,3.25,False,True,True,INCOMPLETE_ANSWER
t007,technical_bug,technical_bug,True,0.8,0.3691,0.1585,3.22,False,True,True,INCOMPLETE_ANSWER
t009,how_to,how_to,True,1.0,0.378,0.2294,4.65,True,False,False,NONE
t011,billing,refund_complaint,False,0.4,0.5056,0.1704,2.55,False,True,False,WRONG_INTENT
t013,account_access,account_access,True,0.8,0.4327,0.1733,3.22,False,False,False,INCOMPLETE_ANSWER
t017,billing,billing,True,0.8,0.4126,0.177,3.25,False,False,False,INCOMPLETE_ANSWER
t022,technical_bug,technical_bug,True,0.8,0.377,0.2154,3.28,False,True,True,INCOMPLETE_ANSWER
t023,refund_complaint,refund_complaint,True,0.8,0.5559,0.3515,4.13,True,True,False,UNNECESSARY_ESCALATION
